
EMAIL,"Subscriber Name","Subscriber ID","Contact No","Plan Name","Plan Type","Plan Status",Expiry,Currency,Amount,"RENEW PERIOD",CREATED
rev@premier.com,Revathy,anmT9ivpLgv3,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-10-09 06:35:09",INR,299.00,MONTHLY,"2020-09-09 06:34:51"
rev@basic.com,Rev,EdAA7gVBzt5s,,Sudhir_Basic,BASIC,ACTIVE,"2021-09-09 06:32:14",INR,200.00,YEARLY,"2020-09-09 06:31:55"
test3@renew.com,test,KmSVYWzrc5M4,,,,EXPIRED,"2020-09-09 06:20:06",,100.00,MONTHLY,"2020-09-09 06:08:49"
test2@renew.com,test,4dZ5jAMtsHqH,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-11 09:59:29",INR,100.00,YEARLY,"2020-09-09 06:03:52"
test@renew.com,test,AkHHtXRomJna,,,,EXPIRED,"2020-09-04 14:54:07",,100.00,MONTHLY,"2020-09-09 05:46:37"
kj@kj.kj,ttttt,isoFhRFu7Sif,,,,EXPIRED,"2020-09-08 14:26:38",,100.00,MONTHLY,"2020-09-08 14:15:13"
test@mobii.com,Test,bNMTws22R0oH,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-10-08 13:51:53",INR,199.00,MONTHLY,"2020-09-08 13:42:06"
crashi@mob.com,Test,PVkrQNjkFhbL,,Sudhir_Basic,BASIC,EXPIRED,"2020-11-07 13:22:18",INR,100.00,MONTHLY,"2020-09-08 13:22:04"
iak@ia.oh,bdn,TWcmr75wSSEa,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-10-08 12:17:19",INR,299.00,MONTHLY,"2020-09-08 12:16:58"
vs@ka.cq,vd,f0luCqNZLxec,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-10-08 12:14:24",INR,299.00,MONTHLY,"2020-09-08 09:29:17"
vbj@vd.fo,cjv,IkQ0eskvQsd8,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-10-08 06:39:14",INR,299.00,MONTHLY,"2020-09-08 06:35:00"
pay@mob.com,akshata,g0Toyf5hLuzO,,Sudhir_Basic,BASIC,EXPIRED,"2020-11-07 06:12:31",INR,100.00,MONTHLY,"2020-09-08 06:11:41"
lan@mob.com,Jeethu,g4pbSWN2XlJE,,,,EXPIRED,"2020-09-09 04:45:09",,,,"2020-09-08 04:45:03"
s.tejinstephen@gmail.com,Stejin,qTLQJK4dn9FK,,,,TRIAL,"2021-09-08 14:13:48",,,,"2020-09-07 14:13:37"
test@cras.com,Crash,6Kx06aGNDKyf,,Sudhir_Basic,BASIC,EXPIRED,"2020-10-07 13:17:26",INR,100.00,MONTHLY,"2020-09-07 13:15:08"
test@upp.com,Jeethu,3LvdZ48bip0D,,,,EXPIRED,"2020-09-08 11:55:51",,,,"2020-09-07 11:52:13"
test100@mob.com,test,JKJOQUp8t9im,,,,EXPIRED,"2020-09-09 06:01:54",,100.00,MONTHLY,"2020-09-07 10:02:33"
jeethugowda95@gmail.com,"Jithendra Kumar",ptFgnUQjuvEi,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-10-07 09:37:34",INR,299.00,MONTHLY,"2020-09-07 09:06:56"
test109@mob.com,test,dnBLwjBSfer7,,,,EXPIRED,"2020-09-07 09:53:35",,100.00,MONTHLY,"2020-09-07 07:46:33"
can@mob.com,Cancel,buVaBrSAB5Te,,Sudhir_Basic,BASIC,EXPIRED,"2020-09-08 02:15:06",INR,100.00,MONTHLY,"2020-09-04 09:46:52"
test@cra.com,"Eldho ",yRoHUJxyJ777,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-10-03 14:05:53",INR,299.00,MONTHLY,"2020-09-03 14:05:38"
paypal@mob.com,paypal,nN5iubCZEV6d,,Sudhir_Basic,BASIC,EXPIRED,"2020-10-03 13:00:45",INR,100.00,MONTHLY,"2020-09-03 12:59:54"
tres@ii.ii,"Jeethu ",l6Qf3OBDzzuV,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-10-03 11:30:42",INR,299.00,MONTHLY,"2020-09-03 11:29:23"
crash@sub.com,crash,335M77mzyk5Z,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-10-03 10:31:39",INR,299.00,MONTHLY,"2020-09-03 10:31:01"
jeethu@sub.in,Jeethu,nsYKJsjgGWAB,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-10-02 08:38:36",INR,299.00,MONTHLY,"2020-09-02 08:38:22"
sub90@mob.com,test,WFUC4ZaspmrC,,,,EXPIRED,"2020-09-02 04:32:25",,1.00,MONTHLY,"2020-09-01 16:23:38"
sub75@mob.com,chguf,3kka2h1coG7t,,,,EXPIRED,"2020-09-11 08:21:01",,1.00,MONTHLY,"2020-09-01 12:14:45"
sub80@mob.com,gahahah,COezWFv0Viwp,,,,EXPIRED,"2020-09-01 12:16:16",,1.00,MONTHLY,"2020-09-01 12:09:34"
sub70@mob.com,test,7OVHeoBcDmlP,,,,EXPIRED,"2020-09-01 11:55:18",,1.00,MONTHLY,"2020-09-01 11:49:29"
sub61@mob.com,hahgag,dDklOhXhbOA7,,,,EXPIRED,"2020-09-01 10:19:06",,1.00,MONTHLY,"2020-09-01 10:13:18"
sub60@mob.con,ghhv,LLWrL4WAsgxf,,,,EXPIRED,"2020-09-01 09:36:10",,1.00,MONTHLY,"2020-09-01 10:07:31"
sub60@gmail.com,trst,Ak8pUbeyVrWj,,,,EXPIRED,"2020-09-01 09:58:12",,1.00,MONTHLY,"2020-09-01 09:52:09"
sub52@mob.com,ytgh,ST2ScgpOaBDM,,,,EXPIRED,"2020-09-01 09:24:40",,1.00,MONTHLY,"2020-09-01 09:18:06"
sub51@mob.com,teat,Pu86D5vu3brC,,,,EXPIRED,"2020-09-01 09:11:10",,1.00,MONTHLY,"2020-09-01 09:05:10"
sub50@mob.com,sub50,pQJ7OlcXEj0t,,,,EXPIRED,"2020-09-01 07:06:21",,1.00,MONTHLY,"2020-09-01 09:00:03"
sub49@mob.com,test,W7b2BdpdJlSp,,,,EXPIRED,"2020-09-01 09:02:39",,1.00,MONTHLY,"2020-09-01 08:55:39"
subt48@mob.com,test,FpOMFlfj1iAa,,,,EXPIRED,"2020-09-01 08:53:58",,1.00,MONTHLY,"2020-09-01 08:48:23"
sub46@mob.com,test,CfQ4GzgutERg,,,,EXPIRED,"2020-09-01 08:47:29",,1.00,MONTHLY,"2020-09-01 08:41:34"
sub45@mob.com,test,wbuYwstDnhlo,,,,EXPIRED,"2020-09-01 08:36:02",,1.00,MONTHLY,"2020-09-01 08:30:31"
sub41@mob.com,test,ljs0XeVib7ds,,,,EXPIRED,"2020-09-01 08:27:00",,1.00,MONTHLY,"2020-09-01 08:25:54"
test36@gmail.com,test,eDwPvlXqJopA,,,,EXPIRED,"2020-09-01 08:27:00",,1.00,MONTHLY,"2020-09-01 08:21:09"
sub35@mob.com,test,sIvwOtsMGIgs,,,,EXPIRED,"2020-09-01 08:03:40",,1.00,MONTHLY,"2020-09-01 07:57:52"
sub32@mob.com,test,c6nYpKAeilfX,,,,EXPIRED,"2020-09-01 07:58:05",,1.00,MONTHLY,"2020-09-01 07:52:17"
sub31@mob.com,test31,xbLh9g3vsHT7,,,,EXPIRED,"2020-09-01 07:50:44",,1.00,MONTHLY,"2020-09-01 07:43:28"
sub30@mob.com,sub,1VvBsc4A4hUO,,"Test Basic Plan",BASIC,EXPIRED,"2020-09-22 05:50:14",INR,1.00,YEARLY,"2020-09-01 07:32:48"
sub24@mob.com,test24,7WDTf6iM9UNo,,,,EXPIRED,"2020-09-01 07:24:16",,1.00,MONTHLY,"2020-09-01 07:18:18"
sub23@mob.com,test,arNoXsNms706,,,,EXPIRED,"2020-09-01 07:04:12",,1.00,MONTHLY,"2020-09-01 06:58:15"
sub23@test.com,sub23,MBGYsNBLFLJg,,,,EXPIRED,"2020-09-01 06:49:06",,1.00,MONTHLY,"2020-09-01 06:41:04"
sub22@gmail.com,sub22,tKkErEI6IAHQ,,,,EXPIRED,"2020-09-01 06:37:31",,1.00,MONTHLY,"2020-09-01 06:35:05"
sub21@mob.com,sub21,MfMIXM8Dqd0U,,,,EXPIRED,"2020-09-01 06:27:16",,1.00,MONTHLY,"2020-09-01 06:06:29"
sub20@mob.com,purchase20,vlkXA01JBmeU,,,,EXPIRED,"2020-09-01 06:07:55",,1.00,MONTHLY,"2020-09-01 05:53:31"
reactive@mob.com,reactive,ypXTrbCTK8Uk,,Sudhir_Basic,BASIC,EXPIRED,"2020-09-27 11:30:51",INR,100.00,MONTHLY,"2020-08-28 11:30:29"
test1@test.test,test,R4aHQzZW37o8,,,,EXPIRED,"2020-08-28 09:28:38",,1.00,MONTHLY,"2020-08-28 09:26:16"
test@jj.jj,test,m8hyNEfoAQwP,,Sudhir_Basic,BASIC,EXPIRED,"2020-09-27 08:24:05",INR,100.00,MONTHLY,"2020-08-28 08:23:49"
test@jjjj.jjjj,ggg,jXXvBH3vhDEI,,,,EXPIRED,"2020-08-27 06:51:27",,1.00,MONTHLY,"2020-08-27 12:07:13"
trail11@mob.com,trail11,4Lu2zoq1jkhe,,,,EXPIRED,"2020-08-28 10:51:25",,,,"2020-08-27 10:48:35"
jjj@kk.kk,jjj,t4Rxw11ECUbD,,,,EXPIRED,"2020-08-27 06:25:17",,1.00,MONTHLY,"2020-08-27 06:19:20"
buy3@mob.com,buy3,pMRBxGrYvkky,,Sudhir_Basic,BASIC,ACTIVE,"2021-09-25 12:02:52",INR,200.00,YEARLY,"2020-08-26 12:00:30"
buy2@mob.com,buyplan,zMfkILGSkG0r,,Sudhir_Basic,BASIC,ACTIVE,"2021-09-25 11:51:17",INR,200.00,YEARLY,"2020-08-26 11:50:56"
notification@mob.com,akshata1,HDFok5ORsnWl,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-10-25 11:08:27",INR,506.60,MONTHLY,"2020-08-26 11:07:06"
trail3@mob.com,Trail,SA1dRi0NShOW,,,,EXPIRED,"2020-08-26 12:06:40",,,,"2020-08-25 12:06:33"
sub@mob.ii,Jeethu,Y9u4NMuy5xe3,,Sudhir_Basic,BASIC,EXPIRED,"2020-11-26 12:29:25",INR,100.00,MONTHLY,"2020-08-25 11:13:51"
dark@mob.com,Jeethu,SFz9fWWzFIXU,,Sudhir_Basic,BASIC,EXPIRED,"2020-10-24 11:11:17",INR,100.00,MONTHLY,"2020-08-25 08:54:54"
continue@mob.com,Akshata,iaSzb1SvhZBv,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-09-20 12:41:42",INR,299.00,MONTHLY,"2020-08-21 12:41:21"
kkl@kkl.kk,kkl,hQ1biDD6rLTw,,,,ACTIVE,"2020-09-19 13:44:08",,1.00,MONTHLY,"2020-08-20 10:28:37"
kkl@kk.kk,kkk,FduIZKo5x8PL,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-09-19 10:27:14",INR,299.00,MONTHLY,"2020-08-20 10:26:56"
kkkk@mailinator.com,kkkk,Tbsk3kktWTl0,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-09-19 09:55:26",INR,299.00,MONTHLY,"2020-08-20 09:53:40"
k@mob.com,Jeethu,5ZZNNUsaQrH8,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-08-20 10:05:19",INR,299.00,MONTHLY,"2020-08-20 09:53:07"
purchase@mob.com,buy,eWy1xnyxzzc1,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-09-16 10:33:14",INR,299.00,MONTHLY,"2020-08-17 10:32:17"
payment@mob.com,payment,E18eMDjiyvbN,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-09-16 06:52:44",INR,299.00,MONTHLY,"2020-08-17 06:51:28"
upgrade@mob.com,Jeethu,xOPMnqDdMgmI,,Sudhir_Basic,BASIC,EXPIRED,"2020-08-28 06:50:15",INR,100.00,MONTHLY,"2020-08-17 06:51:01"
joan.cynthia@mobiotics.com,"Joan Cynthia J",GCP6AE4jaxKd,,Sudhir_Basic,BASIC,EXPIRED,"2020-10-19 13:57:56",INR,100.00,MONTHLY,"2020-08-13 10:44:42"
bsks@jcod.com,Bdksnf,CeHZWYTXzrMI,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-09-12 10:26:36",INR,299.00,MONTHLY,"2020-08-13 09:57:27"
bdk@jfls.dj,Bndk,A3oYsMRjUC0t,,,,EXPIRED,"2020-08-14 07:33:49",,,,"2020-08-13 07:33:29"
hksks@cjos.cok,Hsdk,HRvVHZmjY3YZ,,Sudhir_Basic,BASIC,EXPIRED,"2020-09-10 11:00:42",INR,100.00,MONTHLY,"2020-08-11 10:58:43"
premium_1@trail.com,"Premium ",kNMtDSojZNYm,,"Test Premium Plan",PREMIUM,EXPIRED,"2020-08-16 07:57:17",INR,,,"2020-08-11 07:57:09"
basic_1@trail.com,Basic,mC4irSDAkURm,,,,EXPIRED,"2020-08-12 07:55:37",,,,"2020-08-11 07:55:26"
bdkdl@kso.vos,Vdjdnc,YJo67hcZJHSm,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-09-10 06:39:02",INR,299.00,MONTHLY,"2020-08-11 06:38:55"
test@mobi.com,test12,s10wlJitrfDN,,Sudhir_Basic,BASIC,EXPIRED,"2020-09-10 06:34:55",INR,100.00,MONTHLY,"2020-08-11 06:22:27"
premium@trail.com,"Premium ",768kZeDWt7or,,"Test Premium Plan",PREMIUM,EXPIRED,"2020-08-15 08:10:32",INR,,,"2020-08-10 08:10:25"
basic@trail.com,Baaic,P7gx0viNLtrG,,,,EXPIRED,"2020-08-11 08:01:33",,,,"2020-08-10 08:01:25"
Test@over.com,"SD Over Ride",U4MpzVR6LDye,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-09-08 11:47:12",INR,299.00,MONTHLY,"2020-08-09 11:44:29"
down@mob.com,Downgrade,QXBgENELZnxf,,Sudhir_Basic,BASIC,EXPIRED,"2020-08-09 11:20:03",INR,100.00,MONTHLY,"2020-08-09 10:59:37"
up@mobi.com,Basic,bLNw0JBBS4Eb,,Sudhir_Premium,PREMIUM,ACTIVE,"2021-08-09 10:51:58",INR,299.00,YEARLY,"2020-08-09 10:49:28"
year@basic.com,Year,Dw4iTWtVMDoT,,Sudhir_Basic,BASIC,ACTIVE,"2021-08-09 10:37:36",INR,200.00,YEARLY,"2020-08-09 10:37:24"
basic@renew.com,"Upgrade ",YzzooIUobtit,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-10-08 10:26:34",INR,398.00,MONTHLY,"2020-08-09 10:25:42"
bdkd@jdk.co,Ndkcjc,ZIADsczx68PW,,,,EXPIRED,"2020-08-08 14:11:10",,,,"2020-08-07 12:35:58"
detail@mob.com,"Jeethu ",ARlNsJ37Ii7r,,,,EXPIRED,"2020-08-08 11:09:29",,,,"2020-08-07 11:09:12"
sub1@mob.com,Jeethu,LQOTyHP3NQJE,,Sudhir_Basic,BASIC,EXPIRED,"2020-10-06 10:04:25",INR,100.00,MONTHLY,"2020-08-07 10:04:14"
sub@true.com,Jeethu,TFyij4ACBC89,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-09-06 09:40:23",INR,299.00,MONTHLY,"2020-08-07 09:39:42"
a@mob.com,"Jeethu ",RLXQOiO9TMCk,,Sudhir_Premium,PREMIUM,EXPIRED,"2020-09-05 10:51:46",INR,299.00,MONTHLY,"2020-08-06 10:05:50"
manoj.pachuveedu@mobiotics.com,Manoj,sTHLC1Uj5T4H,8281869085,"Razorpay Basic",BASIC,EXPIRED,"2021-07-02 18:30:00",INR,50.00,MONTHLY,"2020-08-06 06:09:40"
trailperiod1@mob.com,trail,GdBXhBGShDcS,,,,EXPIRED,"2020-08-06 12:27:04",,,,"2020-08-05 12:26:29"
